РЦ Транзитный,РЦ Географический,Код ТП,Наименование ТП,Тип склада,Формат для диаграмм,Целевая ЦП,Действующая ЦП,СТМ,Признак объемности,Локальность,"отгрузки по РЦ-ТП сред знач за 3 мес, пал","отгрузки по ТРЦ-ТП сред знач за 3 мес, пал"
РЦ Самара (а),РЦ ПД Тольятти,408138,SKU_022557,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.36,0.39
РЦ Самара (а),РЦ ПД Энгельс,951310,SKU_023593,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,0.29,0.39
РЦ Самара (а),РЦ ПД Тольятти,610492,SKU_007924,Основной склад,МД,ПД,ПД,Нет,-,-,4.4,5.37
РЦ Самара (а),РЦ ПД Тольятти,104728,SKU_049774,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.45,2.87
РЦ Ивантеевка (а),РЦ ПД Тверь,562421,SKU_023354,Основной склад,МД,ПД,ПД,Да,-,-,0.96,1.17
РЦ Самара (а),РЦ ПД Киров,774775,SKU_039766,Охлажденка,МД,ПД,ПД,Да,-,-,0.91,1.01
РЦ Самара (а),РЦ ПД Киров,770288,SKU_035865,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,1.01,1.34
РЦ Ростов (а),РЦ ПД Краснодар,196553,SKU_012186,Охлажденка,МК,ТРЦ,ТРЦ,Нет,-,-,11.77,16.41
РЦ Ивантеевка (а),РЦ ПД Ивантеевка,639632,SKU_009742,5-я камера,МК,ПД,Федеральный пулинг,Нет,-,-,0.66,0.72
РЦ Самара (а),РЦ ПД Тольятти,859481,SKU_046648,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.32,0.39
РЦ Самара (а),РЦ ПД Пенза,414226,SKU_044242,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,2.35,2.48
РЦ Самара (а),РЦ ПД Энгельс,675246,SKU_037602,Охлажденка,БФ,ПД,ПД,Нет,-,-,0.21,0.27
РЦ Самара (а),РЦ ПД Тольятти,641705,SKU_040216,5-я камера,МИКС,ПД,ПД,Нет,-,-,4.83,5.14
РЦ Самара (а),РЦ ПД Зеленодольск,713262,SKU_025467,Основной склад,ФД,ПД,ПД,Нет,-,-,3.33,3.68
РЦ Самара (а),РЦ ПД Тольятти,815800,SKU_020568,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,4.25,5.48
РЦ Самара (а),РЦ ПД Зеленодольск,825379,SKU_010299,5-я камера,МД,ПД,ФРЦ,Да,-,-,0.23,0.28
РЦ Самара (а),РЦ ПД Зеленодольск,851964,SKU_029897,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,200.0,217.0
РЦ Самара (а),РЦ ПД Киров,829812,SKU_015864,Основной склад,МК,ПД,ПД,Нет,-,-,1.16,1.19
РЦ Самара (а),РЦ ПД Киров,504743,SKU_048467,Основной склад,МИКС,ПД,ПД,Нет,-,-,1.68,2.24
РЦ Самара (а),РЦ ПД Тольятти,203970,SKU_044362,Заморозка,МК,ТРЦ,ТРЦ,Нет,-,-,3.92,5.44
РЦ Самара (а),РЦ ПД Зеленодольск,925988,SKU_011044,Основной склад,МИКС,ПД,Федеральный пулинг,Нет,-,-,0.38,0.5
РЦ Самара (а),РЦ ПД Киров,727446,SKU_023957,Охлажденка,МИКС,ПД,ПД,Нет,-,-,0.11,0.15
РЦ Самара (а),РЦ ПД Энгельс,415100,SKU_023981,Основной склад,МД,ПД,ПД,Нет,-,-,0.93,1.19
РЦ Самара (а),РЦ ПД Тольятти,243390,SKU_038698,Основной склад,БФ,ПД,ПД,Нет,-,-,3.07,4.23
РЦ Самара (а),РЦ ПД Тольятти,361224,SKU_025353,Пресервы,МД,ПД,ПД,Нет,-,-,6.42,7.48
РЦ Самара (а),РЦ ПД Энгельс,999487,SKU_023578,Основной склад,МД,ПД,ПД,Нет,-,-,0.76,0.92
РЦ Самара (а),РЦ ПД Киров,226809,SKU_033120,Основной склад,ТД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,4.43,4.86
РЦ Самара (а),РЦ ПД Энгельс,367511,SKU_017997,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,0.46,0.47
РЦ Самара (а),РЦ ПД Энгельс,578521,SKU_003321,Заморозка,МД,МП,МП,Нет,-,-,0.23,0.29
РЦ Самара (а),РЦ ПД Энгельс,981741,SKU_030147,Заморозка,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,-,-,12.3,14.11
РЦ Самара (а),РЦ ПД Тольятти,918478,SKU_035066,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,2.8,3.5
РЦ Самара (а),РЦ ПД Тольятти,107168,SKU_032417,Заморозка,МИКС,ПД,ПД,Нет,-,-,5.23,5.94
РЦ Самара (а),РЦ ПД Зеленодольск,457130,SKU_040299,Основной склад,БФ,МП,МП,Нет,-,-,3.1,3.52
РЦ Самара (а),РЦ ПД Энгельс,298525,SKU_046119,Заморозка,МК,ПД,ПД,Нет,-,-,34.09,44.45
РЦ Самара (а),РЦ ПД Зеленодольск,479228,SKU_043517,Заморозка,БФ,ПД,ПД,Нет,-,Локал.,5.4,7.36
РЦ Самара (а),РЦ ПД Пенза,724809,SKU_039548,Заморозка,МК,ПД,ПД,Нет,-,-,0.23,0.28
РЦ Самара (а),РЦ ПД Зеленодольск,467177,SKU_015049,Охлажденка,МК,ПД,ПД,Нет,-,-,2.0,2.45
РЦ Ростов (а),РЦ ПД Ростов,539664,SKU_016445,Основной склад,МИКС,ФРЦ,ПД,Нет,-,-,11.45,13.93
РЦ Самара (а),РЦ ПД Пенза,874120,SKU_037032,Основной склад,ТД,ТРЦ,ТРЦ,Нет,-,-,1.05,1.15
РЦ Самара (а),РЦ ПД Киров,215268,SKU_040218,Заморозка,ФД,ФРЦ,ФРЦ,Да,-,-,3.14,3.84
РЦ Самара (а),РЦ ПД Тольятти,451744,SKU_027289,Основной склад,ФД,ПД,ПД,Нет,-,-,1.5,2.07
РЦ Самара (а),РЦ ПД Киров,619638,SKU_035636,Охлажденка,МД,ПД,ПД,Да,-,-,0.51,0.52
РЦ Самара (а),РЦ ПД Тольятти,326665,SKU_009820,Основной склад,МИКС,МП,МП,Да,+,-,0.87,1.05
РЦ Самара (а),РЦ ПД Тольятти,683325,SKU_006832,Основной склад,БФ,ПД,ПД,Нет,-,-,4.85,6.33
РЦ Самара (а),РЦ ПД Киров,232811,SKU_026206,Заморозка,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.56,0.73
РЦ Самара (а),РЦ ПД Пенза,312348,SKU_000466,Охлажденка,МД,ПД,ПД,Нет,-,-,3.13,4.32
РЦ Самара (а),РЦ ПД Зеленодольск,667962,SKU_045917,5-я камера,МД,ФРЦ,ФРЦ,Нет,-,-,2.66,3.53
РЦ Самара (а),РЦ ПД Энгельс,567778,SKU_012777,Основной склад,МД,ПД,ПД,Нет,-,-,1.14,1.53
РЦ Самара (а),РЦ ПД Пенза,461614,SKU_019537,Охлажденка,МК,ПД,ПД,Нет,-,-,1.41,1.9
РЦ Самара (а),РЦ ПД Киров,930593,SKU_043499,Основной склад,МД,ТРЦ,ТРЦ,Да,-,-,1.11,1.34
РЦ Самара (а),РЦ ПД Киров,634723,SKU_004460,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,3.99,4.86
РЦ Самара (а),РЦ ПД Тольятти,364418,SKU_007466,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,-,5.2,6.15
РЦ Самара (а),РЦ ПД Киров,971707,SKU_038879,Основной склад,МД,ПД,ПД,Нет,-,Локал.,3.15,3.4
РЦ Самара (а),РЦ ПД Тольятти,913309,SKU_018058,Пресервы,МК,ПД,ФРЦ,Нет,-,-,2.31,3.12
РЦ Самара (а),РЦ ПД Пенза,203422,SKU_012271,Основной склад,ТД,ПД,ТРЦ PBL,Нет,-,-,1.14,1.21
РЦ Самара (а),РЦ ПД Зеленодольск,778756,SKU_003566,Заморозка,МИКС,ПД,ПД,Нет,-,-,5.93,6.44
РЦ Самара (а),РЦ ПД Пенза,486059,SKU_007941,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,37.72,52.04
РЦ Самара (а),РЦ ПД Тольятти,728786,SKU_031865,Пресервы,МД,ФРЦ,ФРЦ,Нет,-,-,7.59,8.56
РЦ Самара (а),РЦ ПД Киров,493835,SKU_009324,Заморозка,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,7.85,10.65
РЦ Самара (а),РЦ ПД Пенза,840376,SKU_047182,Охлажденка,МД,ПД,ПД,Нет,-,-,0.61,0.76
РЦ Подольск (а),РЦ ПД Тула,293175,SKU_014070,Основной склад,МК,МП,МП,Нет,+,-,0.59,0.72
РЦ Самара (а),РЦ ПД Киров,617507,SKU_021331,Основной склад,МД,МП,МП,Да,-,-,3.29,3.91
РЦ Самара (а),РЦ ПД Пенза,636565,SKU_011913,Основной склад,БФ,ПД,ПД,Нет,-,-,0.99,1.04
РЦ Самара (а),РЦ ПД Зеленодольск,707540,SKU_033839,Основной склад,МК,ПД,ПД,Нет,-,Регион.,3.54,4.93
РЦ Самара (а),РЦ ПД Зеленодольск,341638,SKU_018208,Пресервы,МК,ПД,ПД,Нет,-,-,0.18,0.22
РЦ Самара (а),РЦ ПД Пенза,496642,SKU_012879,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.96,1.12
РЦ Самара (а),РЦ ПД Зеленодольск,860496,SKU_038988,Охлажденка,МК,ПД,ПД,Нет,-,-,8.78,11.13
РЦ Самара (а),РЦ ПД Пенза,378029,SKU_045320,Охлажденка,МИКС,ПД,ТРЦ PBL,Да,-,-,0.7,0.71
РЦ Самара (а),РЦ ПД Тольятти,951007,SKU_029518,Основной склад,МД,ФРЦ,ТРЦ PBL,Нет,-,-,0.46,0.51
РЦ Самара (а),РЦ ПД Тольятти,372501,SKU_021434,Охлажденка,МД,ПД,ПД,Да,-,-,0.87,1.14
РЦ Самара (а),РЦ ПД Киров,274082,SKU_018342,Основной склад,МК,ТРЦ,ТРЦ,Да,-,-,0.62,0.72
РЦ Самара (а),РЦ ПД Зеленодольск,119530,SKU_010005,Основной склад,МД,ПД,ПД,Нет,-,-,1.41,1.82
РЦ Самара (а),РЦ ПД Зеленодольск,679831,SKU_023394,Основной склад,МД,ПД,ПД,Нет,-,-,0.83,0.96
РЦ Самара (а),РЦ ПД Тольятти,915749,SKU_018680,Основной склад,МД,ПД,ПД,Нет,-,-,7.93,9.19
РЦ Самара (а),РЦ ПД Киров,106580,SKU_012256,Охлажденка,ТД,МП,МП,Нет,-,-,15.5,15.56
РЦ Самара (а),РЦ ПД Энгельс,682606,SKU_023893,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,1.66,1.88
РЦ Самара (а),РЦ ПД Зеленодольск,739759,SKU_036983,Пресервы,МД,ПД,ПД,Нет,-,-,8.17,10.84
РЦ Самара (а),РЦ ПД Пенза,986166,SKU_010473,Основной склад,МД,ПД,ПД,Нет,-,-,0.34,0.39
РЦ Самара (а),РЦ ПД Пенза,619651,SKU_048965,Основной склад,МИКС,МП,ТРЦ PBL,Нет,-,-,1.12,1.27
РЦ Самара (а),РЦ ПД Тольятти,557568,SKU_020793,Основной склад,БФ,ПД,ПД,Нет,-,-,46.48,50.5
РЦ Самара (а),РЦ ПД Зеленодольск,480896,SKU_020065,Основной склад,МД,ПД,ПД,Нет,-,-,6.22,6.66
РЦ Самара (а),РЦ ПД Пенза,744278,SKU_037991,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,0.22,0.23
РЦ Самара (а),РЦ ПД Зеленодольск,872846,SKU_026465,Основной склад,МК,МП,МП,Нет,-,-,1.9,2.32
РЦ Самара (а),РЦ ПД Киров,224440,SKU_009405,Заморозка,МК,ПД,ПД,Нет,-,-,2.64,3.57
РЦ Самара (а),РЦ ПД Зеленодольск,370563,SKU_018267,Заморозка,ФД,ПД,ПД,Нет,-,-,3.01,3.36
РЦ Самара (а),РЦ ПД Киров,197995,SKU_032264,Охлажденка,МИКС,ПД,ПД,Нет,-,-,4.99,5.19
РЦ Самара (а),РЦ ПД Зеленодольск,701228,SKU_037674,Основной склад,МД,ПД,ПД,Нет,-,-,93.21,95.45
РЦ Самара (а),РЦ ПД Тольятти,441695,SKU_032732,Основной склад,МК,ФРЦ,ФРЦ,Нет,-,-,0.28,0.38
РЦ Самара (а),РЦ ПД Тольятти,225602,SKU_001099,Основной склад,МК,ПД,ПД,Нет,-,-,3.81,4.32
РЦ Самара (а),РЦ ПД Пенза,495395,SKU_023597,Основной склад,ФД,ПД,ПД,Нет,-,-,7.86,10.78
РЦ Самара (а),РЦ ПД Энгельс,556578,SKU_013720,Охлажденка,МД,Федеральный пулинг,ТРЦ,Да,-,-,0.61,0.71
РЦ Самара (а),РЦ ПД Пенза,910892,SKU_017111,Основной склад,МД,ПД,ПД,Нет,-,-,16.77,20.76
РЦ Самара (а),РЦ ПД Тольятти,382903,SKU_024419,Охлажденка,МИКС,ПД,ПД,Нет,-,-,0.59,0.82
РЦ Самара (а),РЦ ПД Тольятти,416756,SKU_035352,Основной склад,ФД,ПД,ПД,Нет,-,-,1.26,1.64
РЦ Самара (а),РЦ ПД Пенза,856529,SKU_016105,Основной склад,МД,ПД,ПД,Нет,-,Регион.,4.89,5.37
РЦ Самара (а),РЦ ПД Киров,325068,SKU_037227,Заморозка,МД,ПД,ПД,Нет,-,-,1.81,1.96
РЦ Самара (а),РЦ ПД Тольятти,200309,SKU_043771,Охлажденка,МД,ПД,ПД,Нет,-,-,5.05,6.89
РЦ Самара (а),РЦ ПД Тольятти,444732,SKU_008645,Основной склад,МИКС,ТРЦ,ТРЦ,Нет,-,-,1.36,1.73
РЦ Самара (а),РЦ ПД Тольятти,463147,SKU_007452,Основной склад,МД,ПД,ПД,Нет,+,-,0.78,0.99
РЦ Самара (а),РЦ ПД Энгельс,165984,SKU_014459,Заморозка,МД,Федеральный пулинг,ПД,Нет,-,-,33.59,36.0
РЦ Самара (а),РЦ ПД Энгельс,999531,SKU_002121,Пресервы,МК,ПД,ПД,Нет,-,-,1.15,1.27
РЦ Самара (а),РЦ ПД Тольятти,300278,SKU_042604,Основной склад,МК,ТРЦ PBL,ТРЦ PBL,Нет,-,-,6.19,8.47
РЦ Самара (а),РЦ ПД Тольятти,418079,SKU_023476,Основной склад,ТД,ТРЦ,ТРЦ,Нет,-,-,0.37,0.48
РЦ Самара (а),РЦ ПД Пенза,373171,SKU_029987,Охлажденка,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.93,3.21
РЦ Самара (а),РЦ ПД Энгельс,225844,SKU_016273,Заморозка,МД,ПД,ПД,Да,+,-,0.53,0.68
РЦ Самара (а),РЦ ПД Тольятти,941573,SKU_000563,Основной склад,МД,ПД,ТРЦ,Нет,-,-,4.9,6.54
РЦ Самара (а),РЦ ПД Зеленодольск,633148,SKU_017853,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.51,0.58
РЦ Самара (а),РЦ ПД Киров,262066,SKU_011744,Основной склад,ТД,ПД,ПД,Нет,+,-,41.99,49.87
РЦ Ростов (а),РЦ ПД Ростов,392435,SKU_047722,5-я камера,МК,ПД,ПД,Нет,-,-,4.92,5.52
РЦ Самара (а),РЦ ПД Энгельс,710205,SKU_025010,Охлажденка,ФД,ПД,ПД,Нет,-,-,53.87,63.49
РЦ Самара (а),РЦ ПД Тольятти,191529,SKU_004670,Охлажденка,МД,ПД,ФРЦ,Нет,-,-,1.84,2.18
РЦ Самара (а),РЦ ПД Энгельс,332830,SKU_001454,Заморозка,МД,ФРЦ,ПД,Нет,-,-,10.1,12.51
РЦ Самара (а),РЦ ПД Киров,203996,SKU_011506,5-я камера,БФ,ПД,ПД,Да,-,-,9.21,12.43
РЦ Самара (а),РЦ ПД Пенза,643826,SKU_001879,Заморозка,МД,ПД,ПД,Нет,-,-,5.77,6.53
РЦ Самара (а),РЦ ПД Киров,214231,SKU_045540,Основной склад,МД,ПД,ПД,Да,-,-,9.88,11.91
РЦ Самара (а),РЦ ПД Энгельс,862529,SKU_044742,Основной склад,БФ,ПД,ПД,Нет,-,-,0.42,0.57
РЦ Самара (а),РЦ ПД Тольятти,120210,SKU_046522,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,5.27,6.26
РЦ Самара (а),РЦ ПД Пенза,315775,SKU_008016,Основной склад,ФД,ПД,ФРЦ,Нет,-,-,12.22,13.11
РЦ Самара (а),РЦ ПД Пенза,872257,SKU_011939,Заморозка,МК,ПД,ПД,Нет,-,-,2.25,2.69
РЦ Самара (а),РЦ ПД Энгельс,687012,SKU_010462,Пресервы,ТД,ФРЦ,ФРЦ,Нет,-,-,7.03,8.55
РЦ Самара (а),РЦ ПД Киров,649925,SKU_009223,Основной склад,МД,ПД,ПД,Нет,-,-,1.19,1.3
РЦ Самара (а),РЦ ПД Энгельс,874259,SKU_020103,Основной склад,МК,ПД,ПД,Нет,-,-,0.08,0.09
РЦ Самара (а),РЦ ПД Тольятти,908662,SKU_007066,Охлажденка,МД,ПД,ПД,Нет,-,-,0.32,0.38
РЦ Подольск (а),РЦ ПД Подольск,211463,SKU_014478,Заморозка,МД,ПД,ПД,Нет,-,-,1.83,2.26
РЦ Ростов (а),РЦ ПД Краснодар,774209,SKU_037214,Заморозка,МК,ФРЦ,ФРЦ,Нет,-,-,5.38,7.18
РЦ Самара (а),РЦ ПД Тольятти,811371,SKU_037564,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.74,2.06
РЦ Самара (а),РЦ ПД Тольятти,738678,SKU_049299,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.67,0.74
РЦ Самара (а),РЦ ПД Энгельс,697233,SKU_003958,Основной склад,МК,ПД,ПД,Нет,-,-,8.62,9.58
РЦ Самара (а),РЦ ПД Пенза,145298,SKU_015490,Охлажденка,МД,ПД,ПД,Да,-,-,3.92,5.01
РЦ Подольск (а),РЦ ПД Тула,875700,SKU_022069,Основной склад,МД,ПД,ПД,Нет,-,-,0.12,0.13
РЦ Самара (а),РЦ ПД Зеленодольск,376437,SKU_024242,Заморозка,МК,МП,МП,Да,-,-,0.93,1.19
РЦ Самара (а),РЦ ПД Зеленодольск,747523,SKU_038533,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.5,0.6
РЦ Самара (а),РЦ ПД Зеленодольск,199667,SKU_018679,Основной склад,ТД,ТРЦ,ТРЦ,Нет,-,-,0.45,0.62
РЦ Самара (а),РЦ ПД Киров,498469,SKU_014301,Охлажденка,МК,ПД,ПД,Нет,-,-,3.02,3.97
РЦ Ростов (а),РЦ ПД Ростов,574333,SKU_034820,5-я камера,ФД,ТРЦ,ТРЦ,Нет,-,-,2.39,3.25
РЦ Самара (а),РЦ ПД Киров,641698,SKU_026837,Основной склад,МК,ПД,ПД,Нет,-,-,1.1,1.18
РЦ Самара (а),РЦ ПД Тольятти,530801,SKU_044708,Заморозка,ТД,ТРЦ,ТРЦ,Нет,-,-,0.95,1.07
РЦ Подольск (а),РЦ ПД Тула,177907,SKU_024159,Основной склад,МД,ПД,ПД,Нет,-,-,0.34,0.4
РЦ Самара (а),РЦ ПД Киров,418583,SKU_037912,Основной склад,МК,ПД,ПД,Нет,-,-,0.99,1.37
РЦ Самара (а),РЦ ПД Энгельс,675704,SKU_036265,Заморозка,МИКС,ФРЦ,ФРЦ,Нет,-,-,5.49,6.21
РЦ Самара (а),РЦ ПД Тольятти,430155,SKU_010232,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,Локал.,21.16,27.93
РЦ Самара (а),РЦ ПД Зеленодольск,238419,SKU_014543,Основной склад,МД,Федеральный пулинг,ПД,Нет,+,-,17.02,23.12
РЦ Самара (а),РЦ ПД Пенза,372071,SKU_022933,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,1.28,1.41
РЦ Самара (а),РЦ ПД Тольятти,598992,SKU_037633,Основной склад,МД,ПД,ПД,Да,-,-,0.73,0.78
РЦ Подольск (а),РЦ ПД Подольск,389059,SKU_005143,5-я камера,МИКС,ПД,ПД,Нет,-,-,1.9,2.27
РЦ Самара (а),РЦ ПД Энгельс,226834,SKU_044832,Заморозка,МД,ФРЦ,ФРЦ,Нет,-,-,11.82,11.83
РЦ Самара (а),РЦ ПД Тольятти,249854,SKU_032149,Основной склад,МК,ПД,ПД,Да,-,-,2.33,2.96
РЦ Самара (а),РЦ ПД Зеленодольск,273368,SKU_014776,Основной склад,МД,ФРЦ,ПД,Нет,-,-,1.16,1.18
РЦ Ивантеевка (а),РЦ ПД Тверь,632610,SKU_006008,Охлажденка,ТД,ТРЦ PBL,ПД,Нет,-,-,0.69,0.96
РЦ Самара (а),РЦ ПД Пенза,134730,SKU_030048,Основной склад,ТД,ПД,ПД,Нет,-,-,2.28,2.38
РЦ Ивантеевка (а),РЦ ПД Ивантеевка,992611,SKU_001319,5-я камера,МД,ТРЦ,ТРЦ,Нет,+,Локал.,1.64,2.02
РЦ Самара (а),РЦ ПД Пенза,441703,SKU_042565,Основной склад,МИКС,ФРЦ,ФРЦ,Да,-,-,6.83,6.83
РЦ Самара (а),РЦ ПД Тольятти,572494,SKU_047401,Основной склад,ТД,ПД,ПД,Нет,-,Локал.,1.49,2.01
РЦ Самара (а),РЦ ПД Зеленодольск,684762,SKU_003181,Основной склад,ФД,ПД,ПД,Нет,+,-,11.05,14.74
РЦ Самара (а),РЦ ПД Энгельс,316501,SKU_010575,Охлажденка,МД,Федеральный пулинг,Федеральный пулинг,Да,-,-,43.3,46.04
РЦ Самара (а),РЦ ПД Пенза,761307,SKU_027731,Основной склад,ФД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.56,1.76
РЦ Самара (а),РЦ ПД Тольятти,644557,SKU_028711,Основной склад,МК,МП,ТРЦ,Нет,-,-,1.05,1.12
РЦ Самара (а),РЦ ПД Киров,526891,SKU_036980,Основной склад,МК,ПД,ПД,Нет,-,-,5.09,6.41
РЦ Самара (а),РЦ ПД Зеленодольск,169449,SKU_044655,Основной склад,БФ,ФРЦ,ФРЦ,Нет,-,-,2.97,3.58
РЦ Самара (а),РЦ ПД Зеленодольск,938100,SKU_030167,Пресервы,МИКС,ПД,ПД,Нет,-,-,0.17,0.22
РЦ Самара (а),РЦ ПД Киров,687828,SKU_023304,Заморозка,ТД,ФРЦ,ФРЦ,Нет,-,-,5.76,7.58
РЦ Самара (а),РЦ ПД Тольятти,111710,SKU_012109,Основной склад,БФ,ФРЦ,ФРЦ,Нет,-,-,8.06,9.48
РЦ Самара (а),РЦ ПД Тольятти,775824,SKU_042861,Основной склад,МК,ТРЦ PBL,ТРЦ PBL,Да,-,-,2.33,2.72
РЦ Самара (а),РЦ ПД Пенза,648882,SKU_015420,Основной склад,МД,ПД,ПД,Нет,-,-,0.97,1.02
РЦ Самара (а),РЦ ПД Тольятти,652358,SKU_004893,Охлажденка,МИКС,ПД,ПД,Нет,-,-,0.63,0.72
РЦ Самара (а),РЦ ПД Пенза,949588,SKU_024919,Охлажденка,МД,ПД,ПД,Нет,-,-,14.75,16.6
РЦ Самара (а),РЦ ПД Пенза,870813,SKU_019402,Заморозка,МД,ПД,ПД,Нет,-,-,0.84,1.16
РЦ Самара (а),РЦ ПД Энгельс,586216,SKU_014209,5-я камера,МК,ПД,ПД,Да,-,-,4.17,4.59
РЦ Самара (а),РЦ ПД Энгельс,173395,SKU_021600,5-я камера,МИКС,ФРЦ,ФРЦ,Нет,-,Регион.,0.07,0.09
РЦ Самара (а),РЦ ПД Энгельс,906793,SKU_012494,Охлажденка,МД,МП,МП,Нет,-,-,15.82,16.39
РЦ Самара (а),РЦ ПД Киров,229622,SKU_015233,Основной склад,БФ,ПД,ПД,Нет,-,-,0.7,0.76
РЦ Самара (а),РЦ ПД Пенза,600254,SKU_036485,Основной склад,МИКС,ТРЦ PBL,ТРЦ PBL,Нет,-,-,1.29,1.7
РЦ Ивантеевка (а),РЦ ПД Ивантеевка,764651,SKU_025596,Основной склад,БФ,ПД,ПД,Нет,-,-,4.83,4.97
РЦ Самара (а),РЦ ПД Тольятти,508223,SKU_041012,Охлажденка,МИКС,ПД,ПД,Да,-,-,26.12,35.34
РЦ Самара (а),РЦ ПД Тольятти,939876,SKU_027058,Охлажденка,МИКС,ПД,ТРЦ PBL,Да,-,-,1.16,1.62
РЦ Самара (а),РЦ ПД Пенза,998402,SKU_018613,Охлажденка,ТД,ПД,ПД,Нет,-,-,0.39,0.49
РЦ Подольск (а),РЦ ПД Тула,860616,SKU_049989,Охлажденка,МД,ТРЦ,ТРЦ,Да,-,-,2.27,2.9
РЦ Самара (а),РЦ ПД Тольятти,759964,SKU_041670,Основной склад,БФ,ТРЦ,ТРЦ,Нет,+,-,1.1,1.23
РЦ Самара (а),РЦ ПД Энгельс,301942,SKU_049352,Основной склад,МК,ТРЦ,ТРЦ,Нет,-,-,0.35,0.39
РЦ Самара (а),РЦ ПД Тольятти,820261,SKU_046891,5-я камера,МД,ТРЦ,ТРЦ,Нет,-,-,1.24,1.34
РЦ Самара (а),РЦ ПД Киров,481051,SKU_006166,Основной склад,МИКС,МП,ФРЦ,Нет,-,-,0.8,0.88
РЦ Самара (а),РЦ ПД Тольятти,620575,SKU_031269,Основной склад,МД,ПД,ПД,Нет,-,-,6.31,8.06
РЦ Самара (а),РЦ ПД Киров,805866,SKU_014332,Охлажденка,ФД,ПД,ПД,Нет,-,-,0.19,0.19
РЦ Самара (а),РЦ ПД Зеленодольск,771570,SKU_009190,Заморозка,БФ,ФРЦ,ФРЦ,Нет,-,-,5.33,5.56
РЦ Самара (а),РЦ ПД Пенза,390988,SKU_046672,Основной склад,ФД,ТРЦ,ПД,Нет,-,-,1.15,1.47
РЦ Самара (а),РЦ ПД Киров,387944,SKU_043496,Заморозка,МД,ПД,ПД,Нет,-,-,0.11,0.13
РЦ Самара (а),РЦ ПД Энгельс,187096,SKU_048626,Заморозка,БФ,Федеральный пулинг,Федеральный пулинг,Нет,-,-,5.5,6.16
РЦ Ивантеевка (а),РЦ ПД Ивантеевка,601971,SKU_019581,Основной склад,МД,ПД,ПД,Нет,-,-,2.39,2.7
РЦ Самара (а),РЦ ПД Пенза,171519,SKU_029601,Пресервы,МИКС,ПД,ПД,Нет,-,-,4.44,5.05
РЦ Самара (а),РЦ ПД Пенза,351387,SKU_029332,Охлажденка,МК,ПД,ПД,Нет,-,-,0.84,1.01
РЦ Самара (а),РЦ ПД Тольятти,742873,SKU_019692,5-я камера,МИКС,ФРЦ,ФРЦ,Нет,-,-,3.73,5.16
РЦ Самара (а),РЦ ПД Тольятти,905886,SKU_016259,Охлажденка,МД,ТРЦ,ТРЦ,Нет,-,-,1.43,1.64
РЦ Самара (а),РЦ ПД Зеленодольск,823860,SKU_048531,Заморозка,МИКС,ТРЦ,ТРЦ,Нет,-,-,2.88,3.62
РЦ Самара (а),РЦ ПД Зеленодольск,209502,SKU_048937,5-я камера,БФ,ТРЦ,ТРЦ,Да,-,-,2.28,2.82
РЦ Самара (а),РЦ ПД Киров,696514,SKU_040899,Охлажденка,МД,ПД,ПД,Нет,-,-,4.11,4.91
РЦ Самара (а),РЦ ПД Тольятти,166489,SKU_038071,Заморозка,МД,ПД,Федеральный пулинг,Нет,-,-,0.29,0.3
РЦ Самара (а),РЦ ПД Зеленодольск,590255,SKU_008892,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,7.85,10.47
РЦ Самара (а),РЦ ПД Тольятти,720515,SKU_041512,Охлажденка,МИКС,ТРЦ,ТРЦ,Нет,-,-,61.91,86.26
РЦ Самара (а),РЦ ПД Киров,362108,SKU_021629,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,3.36,3.46
